"t","x1","x2"
13.9,4.17099351848057,0.127319826673294
13.95,4.17735404349948,0.127101468559386
14,4.18370367965477,0.126884270462051
14.05,4.19004248468601,0.12666822195597
14.1,4.1963705158148,0.126453312748067
14.15,4.20268782975138,0.126239532675332
14.2,4.20899448270102,0.126026871702708
14.25,4.21529053037041,0.125815319921002
14.3,4.22157602797386,0.125604867544852
14.35,4.22785103023948,0.125395504910726
14.4,4.23411559141523,0.125187222474961
14.45,4.24036976527479,0.124980010811845
14.5,4.24661360512351,0.124773860611736
14.55,4.25284716380411,0.12456876267921
14.6,4.25907049370234,0.124364707931257
14.65,4.26528364675258,0.124161687395501
14.7,4.27148667444333,0.123959692208465
14.75,4.27767962782259,0.123758713613861
14.8,4.2838625575032,0.123558742960913
14.85,4.29003551366805,0.123359771702721
14.9,4.29619854607526,0.123161791394647
14.95,4.30235170406323,0.122964793692732
15,4.30849503655566,0.122768770352152
