"Time","Enterobacterales_A_737866","Veillonellales","Pseudomonadales_660879","Rhizobiales_A_504705","Lactobacillales","Burkholderiales_592522","Bacteroidales","Lachnospirales","Oscillospirales","Erysipelotrichales","Acidaminococcales","Coriobacteriales","Clostridia_258483_Class","UBA1381","Actinomycetales","Christensenellales","RF39","Xanthomonadales_616009","Gammaproteobacteria_Class","Monoglobales","Verrucomicrobiales","Bacteria_Kingdom","Clostridiales","Peptostreptococcales","Tissierellales","TANB77","Selenomonadales"
147,0,0.000388888888888889,0,0,0.000388888888888889,0.00194444444444444,0.661944444444444,0.0941111111111111,0.196388888888889,0.00277777777777778,0.0185,0.00455555555555556,0.00155555555555556,0.00383333333333333,0,0.000833333333333333,0.00177777777777778,0,0,0.000222222222222222,0.003,0.00277777777777778,0,0.00122222222222222,0,0.00327777777777778,0
148,0,0,0.000888888888888889,0.000166666666666667,0.000722222222222222,0.000722222222222222,0.513555555555556,0.137722222222222,0.274611111111111,0.0108888888888889,0.0215555555555556,0.00505555555555556,0.00505555555555556,0.00405555555555556,0.000111111111111111,0.00111111111111111,0.00155555555555556,0,0.000166666666666667,0.000277777777777778,0.0144444444444444,0.00294444444444444,0,0.00205555555555556,0,0.00194444444444444,0
149,5.55555555555556e-05,0.000111111111111111,0,0,0.00155555555555556,0,0.368888888888889,0.194277777777778,0.361777777777778,0.0115,0.0197777777777778,0.00938888888888889,0.00594444444444444,0.00727777777777778,5.55555555555556e-05,0.00177777777777778,0.00266666666666667,0,0.000277777777777778,0.00327777777777778,0.00372222222222222,0.0025,0,0.00233333333333333,0,0.00272222222222222,0
150,0.0015,0.00322222222222222,0.00105555555555556,0.000777777777777778,0.00116666666666667,0.00861111111111111,0.441111111111111,0.166055555555556,0.2995,0.00444444444444444,0.0190555555555556,0.0118888888888889,0.00438888888888889,0.004,0,0.00172222222222222,0.00533333333333333,0,0.000444444444444444,0.00277777777777778,0.00688888888888889,0.00372222222222222,5.55555555555556e-05,0.00205555555555556,0,0.00311111111111111,0
151,0.000166666666666667,0,0.000388888888888889,0,0.000444444444444444,0.000388888888888889,0.402111111111111,0.194666666666667,0.337111111111111,0.0121666666666667,0.0147777777777778,0.00633333333333333,0.00305555555555556,0.00377777777777778,0,0.00172222222222222,0.00438888888888889,0,0.000388888888888889,0.0015,0.00333333333333333,0.00222222222222222,0.000888888888888889,0.00483333333333333,0,0.00455555555555556,0
152,0.0500555555555556,0.000277777777777778,0.000166666666666667,0.000111111111111111,0.00122222222222222,0.000611111111111111,0.478,0.189833333333333,0.224111111111111,0.0157777777777778,0.00738888888888889,0.00133333333333333,0.00238888888888889,0.00222222222222222,0,0.000555555555555556,0.002,0.000222222222222222,0.000111111111111111,5e-04,0.00144444444444444,0.00361111111111111,0.0125555555555556,0.00294444444444444,5.55555555555556e-05,0.00194444444444444,0
153,0.115833333333333,0.00111111111111111,0,0.000166666666666667,0.00333333333333333,0.00116666666666667,0.516277777777778,0.175222222222222,0.1355,0.0150555555555556,0.00238888888888889,0.000611111111111111,0.000777777777777778,0.000444444444444444,5.55555555555556e-05,0.000222222222222222,0.000166666666666667,0.000333333333333333,0,0.000333333333333333,0.000555555555555556,0.00472222222222222,0.0227222222222222,0.00227777777777778,0.000222222222222222,0.000222222222222222,0
154,0.226277777777778,0.00688888888888889,0.00672222222222222,0.000166666666666667,0.0663333333333333,0.000611111111111111,0.356666666666667,0.124611111111111,0.0981666666666667,0.0125555555555556,0.00172222222222222,0.000555555555555556,0.00105555555555556,0.000277777777777778,5.55555555555556e-05,0.000444444444444444,0.000166666666666667,0.000277777777777778,0,0,0.000833333333333333,0.0185,0.065,0.004,0.00133333333333333,0.000388888888888889,0
155,0.349166666666667,0.0243333333333333,0.0161111111111111,0.000111111111111111,0.174944444444444,0.000111111111111111,0.100611111111111,0.0521111111111111,0.0399444444444444,0.00688888888888889,0.00244444444444444,5e-04,0.00188888888888889,0.000166666666666667,0.000111111111111111,0.000388888888888889,0.000333333333333333,0,0,0,0.000833333333333333,0.0679444444444444,0.1315,0.007,0.00372222222222222,0.000333333333333333,0
156,0.0406666666666667,0.0369444444444444,0.000166666666666667,0,0.00233333333333333,5.55555555555556e-05,0.606055555555556,0.0396111111111111,0.0846666666666667,0.00616666666666667,0,0,0,0,0,0,0,0,0,0,0,0.120333333333333,0.0598888888888889,0.00166666666666667,0,0,0
157,0.0108333333333333,0.0438888888888889,0.000666666666666667,0,5.55555555555556e-05,0.000388888888888889,0.740666666666667,0.0436111111111111,0.0945,0.000333333333333333,0.000111111111111111,5.55555555555556e-05,0,0,0,0,0,0,0,0,0,0.0588888888888889,0.00394444444444444,5.55555555555556e-05,0,0,0
158,0.00283333333333333,0.0433888888888889,0,0,5e-04,0,0.677777777777778,0.0473333333333333,0.137888888888889,0.00133333333333333,0.00205555555555556,0.000333333333333333,0,0,0,0,0,0,0,0,0,0.0798888888888889,0.00122222222222222,0.000222222222222222,0,0,0
