"Time","Enterobacterales_A_737866","Veillonellales","Lactobacillales","Pseudomonadales_660879","Caulobacterales","Bacteroidales","Burkholderiales_592522","Oscillospirales","Lachnospirales","Erysipelotrichales","Peptostreptococcales","Acidaminococcales","Coriobacteriales","UBA1381","Actinomycetales","Clostridiales","Desulfovibrionales","Tissierellales","Bacteria_Kingdom","Campylobacterales","Gammaproteobacteria_Class","Haloplasmatales_A","Clostridia_258483_Class","Fusobacteriales_993521","Burkholderiales_595427"
63,0.00547945205479452,0.0108470785574504,0.00229242381884261,0.000950517193178641,0,0.351579535923959,0.0012300810735253,0.388985183114342,0.140508806262231,0.0622309197651663,0.00268381325132793,0.00922560805143975,0.00648588202404249,0.00760413754542913,0.00223651104277327,0.00061504053676265,0.00178920883421862,5.59127760693318e-05,5.59127760693318e-05,0,0.000782778864970646,0.000726866088901314,0.00296337713167459,0,0
64,0.00688888888888889,0.0179444444444444,0.00411111111111111,0.00122222222222222,0,0.309666666666667,0.000888888888888889,0.339277777777778,0.169777777777778,0.105388888888889,0.00511111111111111,0.00672222222222222,0.00644444444444444,0.0102222222222222,0.000944444444444444,0.00116666666666667,0.00355555555555556,0.000111111111111111,0.000333333333333333,0,0.00133333333333333,0.00144444444444444,0.00594444444444444,0,0
65,0.0075,0.0108888888888889,0.00166666666666667,5.55555555555556e-05,0,0.301777777777778,0,0.343555555555556,0.186777777777778,0.100888888888889,0.00338888888888889,0.0195,0.0121111111111111,0.00372222222222222,0.00494444444444444,0.000222222222222222,0.00111111111111111,5.55555555555556e-05,5e-04,0,0.000666666666666667,0.000444444444444444,5.55555555555556e-05,5.55555555555556e-05,0
66,0.00238888888888889,0.00127777777777778,0.0250555555555556,0.000111111111111111,0,0.164777777777778,0,0.288611111111111,0.318722222222222,0.117166666666667,0.00694444444444444,0.0338333333333333,0.0244444444444444,0.00133333333333333,0.00588888888888889,0.00311111111111111,0.000722222222222222,5.55555555555556e-05,5.55555555555556e-05,0.000111111111111111,0.000111111111111111,0.00155555555555556,0.00333333333333333,0,0
67,0.00316666666666667,0.00227777777777778,0.000833333333333333,0.000111111111111111,0,0.367277777777778,0,0.307333333333333,0.204444444444444,0.0882222222222222,0.00133333333333333,0.0133888888888889,0.004,0.00116666666666667,0.00366666666666667,0.000888888888888889,0.000722222222222222,0,0,0,0.000222222222222222,0,0.000944444444444444,0,0
68,0.00772222222222222,0.0108888888888889,0.000444444444444444,0.000222222222222222,0,0.447166666666667,0.0015,0.304722222222222,0.139055555555556,0.0428888888888889,0.000888888888888889,0.0297777777777778,0.00383333333333333,0.00727777777777778,0.000666666666666667,5e-04,0.000777777777777778,5.55555555555556e-05,0.000166666666666667,0,0.00116666666666667,0,0.000111111111111111,0,0
69,0.0301666666666667,0.0891111111111111,0.00266666666666667,0.000111111111111111,0,0.269444444444444,0.000111111111111111,0.256888888888889,0.137111111111111,0.0405555555555556,0.138388888888889,0.0139444444444444,0.00166666666666667,0.00927777777777778,0.000666666666666667,0.00277777777777778,0.000277777777777778,5.55555555555556e-05,0.00561111111111111,5.55555555555556e-05,0.000555555555555556,0.000111111111111111,5.55555555555556e-05,0,0
70,0.000222222222222222,0.00405555555555556,0.00111111111111111,5.55555555555556e-05,0,0.454555555555556,0.00127777777777778,0.285444444444444,0.146388888888889,0.0679444444444444,0.00388888888888889,0.0111111111111111,0.0025,0.00138888888888889,0.00277777777777778,0.000222222222222222,0.0113888888888889,0.00188888888888889,0.00222222222222222,0.000111111111111111,0.00127777777777778,0,5.55555555555556e-05,0,0
71,0.0169444444444444,0.00327777777777778,0.0532222222222222,0,0,0.264944444444444,0.000333333333333333,0.363944444444444,0.187944444444444,0.0765,0.00366666666666667,0.00788888888888889,0.00211111111111111,0.0102777777777778,0.00311111111111111,0.000166666666666667,0.00361111111111111,0.000611111111111111,0.000388888888888889,5.55555555555556e-05,0.000166666666666667,0,0.000555555555555556,0,0
72,0.0311666666666667,0.00344444444444444,0.0889444444444445,0.000111111111111111,0,0.157611111111111,0,0.399833333333333,0.209277777777778,0.077,0.00333333333333333,0.00677777777777778,0.00261111111111111,0.0160555555555556,0.0025,0.000111111111111111,5.55555555555556e-05,0,5.55555555555556e-05,0,0.000111111111111111,5.55555555555556e-05,0.000833333333333333,0,0
