"Time","Lactobacillales","Bacteroidales","Oscillospirales","Lachnospirales","Acidaminococcales","Burkholderiales_595427","Erysipelotrichales","Desulfovibrionales","UBA1381","Clostridia_258483_Class","TANB77","Clostridiales","Gammaproteobacteria_Class","Haloplasmatales_A","Tissierellales","Mycobacteriales","Enterobacterales_A_737866","Veillonellales","Actinomycetales","Christensenellales","RF39","Verrucomicrobiales","Coriobacteriales","Peptostreptococcales","Campylobacterales","Bacteria_Kingdom","Saccharofermentanales","Fusobacteriales_993521"
368,0.000277777777777778,0.821722222222222,0.102611111111111,0.0460555555555556,0.0025,0.0025,0.00222222222222222,0.00238888888888889,0.000777777777777778,0.000555555555555556,0.0107777777777778,0.000611111111111111,0.000555555555555556,0,0,0,0,0,0,0.00433333333333333,0.000611111111111111,0,0,5.55555555555556e-05,0,0.00127777777777778,0,0
369,0.000222222222222222,0.8205,0.114055555555556,0.0329444444444444,0.00555555555555556,0.00294444444444444,0.001,0.00772222222222222,5.55555555555556e-05,0.000277777777777778,0.00866666666666667,0.000388888888888889,0.000555555555555556,0,0,0,0,0,0,0.00355555555555556,0.000333333333333333,0,0,0.000777777777777778,0,0.000388888888888889,0,0
370,0.000111111111111111,0.801,0.0962777777777778,0.0562222222222222,0.00138888888888889,0.0015,0.002,0.00216666666666667,0.00116666666666667,0.000611111111111111,0.0169444444444444,0.000666666666666667,0.000888888888888889,0,0,0,0,0,0,0.0133888888888889,0.00266666666666667,0,0.000166666666666667,0.000722222222222222,0,0.00194444444444444,0,0
371,0.000333333333333333,0.687833333333333,0.165,0.0713333333333333,0.0108333333333333,0.00833333333333333,0.00111111111111111,0.00588888888888889,0.000944444444444444,0.00166666666666667,0.0336111111111111,0.00205555555555556,0.00266666666666667,0.000111111111111111,0,0,0.00216666666666667,0,0,0.002,0,0,0,0.000833333333333333,0,0.00327777777777778,0,0
372,0,0.705277777777778,0.1725,0.0521111111111111,0.00827777777777778,0.00538888888888889,0.00144444444444444,0.00416666666666667,0.00116666666666667,0.000833333333333333,0.0237777777777778,0.000444444444444444,0.00116666666666667,0,0.000111111111111111,0,0,0,0,0.0174444444444444,0.00122222222222222,0,0,5e-04,0.000166666666666667,0.00372222222222222,0,0
373,0.000111111111111111,0.730611111111111,0.150333333333333,0.0512222222222222,0.00405555555555556,0.0126111111111111,0.00177777777777778,0.00394444444444444,0.00144444444444444,0.000555555555555556,0.0313333333333333,0.000555555555555556,0.00277777777777778,0,0,0,0.000277777777777778,0,0,0.00572222222222222,0,0,0,0.000722222222222222,0,0.00194444444444444,0,0
374,0.000277777777777778,0.334722222222222,0.0975,0.0436111111111111,0.00327777777777778,0.00644444444444444,0.0015,0.00327777777777778,5e-04,0.00166666666666667,0.00444444444444444,0.000444444444444444,0.001,0,0.376944444444444,0.0183333333333333,5.55555555555556e-05,0.0126111111111111,0.00166666666666667,0.00933333333333333,0.000222222222222222,0,0.00111111111111111,0.0328333333333333,0.0219444444444444,0.0136111111111111,0.0120555555555556,0
375,5.55555555555556e-05,0.427777777777778,0.154611111111111,0.103055555555556,0.00677777777777778,0.00177777777777778,0.00411111111111111,0.006,0.000111111111111111,0.0015,0.00472222222222222,0.000444444444444444,0.000333333333333333,5.55555555555556e-05,0.164055555555556,0.00516666666666667,0,0.00594444444444444,0.00238888888888889,0.0102222222222222,0.000277777777777778,0.000333333333333333,0.00111111111111111,0.0233888888888889,0.0186111111111111,0.0503888888888889,0.00644444444444444,0
376,5.55555555555556e-05,0.770888888888889,0.1435,0.0523333333333333,0.00183333333333333,0.00361111111111111,0.00188888888888889,0.00205555555555556,0.00127777777777778,0.00138888888888889,0.0105555555555556,0.00111111111111111,0.000833333333333333,0,0,0,0,0,0,0.00683333333333333,0,0,5.55555555555556e-05,0.000388888888888889,0,0.00138888888888889,0,0
377,0.000277777777777778,0.593222222222222,0.306333333333333,0.0451111111111111,0.0138888888888889,0.00294444444444444,0.00105555555555556,0.00272222222222222,0.00194444444444444,0.000333333333333333,0.0268333333333333,0.000611111111111111,0.00144444444444444,0,0,0,0,0.000222222222222222,0,0.00127777777777778,0.000111111111111111,0,5.55555555555556e-05,0.000388888888888889,5.55555555555556e-05,0.00116666666666667,0,0
378,0.000333333333333333,0.385277777777778,0.145888888888889,0.0590555555555556,0.00694444444444444,0.00522222222222222,0.003,0.00405555555555556,5e-04,0.000666666666666667,0.0121111111111111,0.000388888888888889,0.00122222222222222,0,0.252666666666667,0.00955555555555555,0,0.00816666666666667,0.003,0.00783333333333333,0.000222222222222222,0,0.000611111111111111,0.0155555555555556,0.0185,0.0562222222222222,0.00288888888888889,0
379,0.000277777777777778,0.716277777777778,0.146277777777778,0.0526666666666667,0.0106666666666667,0.004,0.00111111111111111,0.00261111111111111,0.00111111111111111,0.00144444444444444,0.0467777777777778,0.000166666666666667,0.00127777777777778,0,0,0,0,0,0,0.0116111111111111,5e-04,0.000111111111111111,0.000166666666666667,0.000388888888888889,0.000333333333333333,0.00222222222222222,0,0
380,5.55555555555556e-05,0.695166666666667,0.161333333333333,0.0597222222222222,0.0152777777777778,0.00461111111111111,0.00138888888888889,0.00388888888888889,0.00211111111111111,0.00133333333333333,0.0356666666666667,0.000222222222222222,0.001,5.55555555555556e-05,0.000388888888888889,0,0,0.000111111111111111,0,0.0128333333333333,0.00172222222222222,0.000111111111111111,5.55555555555556e-05,0.000444444444444444,0.000277777777777778,0.00211111111111111,0,0
381,0.000111111111111111,0.673944444444444,0.174666666666667,0.0681111111111111,0.0187777777777778,0.00538888888888889,0.00183333333333333,0.006,0.00255555555555556,0.00194444444444444,0.0243333333333333,0.000444444444444444,0.00133333333333333,0.000111111111111111,0.000611111111111111,0,0,0.000166666666666667,0,0.0134444444444444,0.00255555555555556,0.000166666666666667,0,0.000444444444444444,0.000166666666666667,0.00266666666666667,0,0
382,0.000167466785754159,0.775650329351345,0.117226750027911,0.0441554091771799,0.0145137880986938,0.0037959138104276,0.00111644523836106,0.00374009154850955,0.00145137880986938,0.00117226750027911,0.0223847270291392,0.000334933571508317,0.000893156190688847,0.000111644523836106,0.000279111309590265,0,0.00223289047672212,5.58222619180529e-05,0,0.00720107178742883,0.00150720107178743,5.58222619180529e-05,0,0.000223289047672212,5.58222619180529e-05,0.00156302333370548,0,0
383,0.000222222222222222,0.8665,0.0643888888888889,0.0241111111111111,0.0101111111111111,0.00222222222222222,0.000555555555555556,0.0015,0.000333333333333333,0.000777777777777778,0.0207777777777778,0.000277777777777778,0.000444444444444444,0.000111111111111111,0,0,0.0045,0,0,0.00155555555555556,0.000444444444444444,0,0,0.000166666666666667,0,0.001,0,0
384,0.000222222222222222,0.811444444444444,0.0934444444444444,0.0400555555555556,0.0123888888888889,0.00333333333333333,0.000833333333333333,0.00222222222222222,0.000833333333333333,0.00183333333333333,0.0244444444444444,0.000222222222222222,0.000722222222222222,0.000222222222222222,0,0,0.00233333333333333,0,0,0.0025,0.000777777777777778,0,0,0.000222222222222222,0,0.00194444444444444,0,0
385,0.000222222222222222,0.716555555555556,0.135277777777778,0.0745,0.0351111111111111,0.00683333333333333,0.000666666666666667,0.00494444444444444,0.00111111111111111,0.000666666666666667,0.0175,0.000611111111111111,0.00105555555555556,0,0.000777777777777778,0,0.000111111111111111,0,0,0.00222222222222222,0,0,0,5.55555555555556e-05,0,0.00177777777777778,0,0
386,0.000611111111111111,0.733166666666667,0.146888888888889,0.0513333333333333,0.0137222222222222,0.00872222222222222,0.00116666666666667,0.00483333333333333,0.00111111111111111,0.000555555555555556,0.0315,0.000166666666666667,0.00183333333333333,0,0,0,0.000111111111111111,0,0,0.00216666666666667,0.000166666666666667,0,0,0.000444444444444444,0,0.00144444444444444,0,0
387,0.000611111111111111,0.551722222222222,0.17,0.0666111111111111,0.0100555555555556,0.00844444444444444,0.00311111111111111,0.00444444444444444,0.000777777777777778,0.000722222222222222,0.0191666666666667,5.55555555555556e-05,0.00144444444444444,0,0.113444444444444,0.00316666666666667,5.55555555555556e-05,0.00244444444444444,0.000777777777777778,0.0025,0.00216666666666667,0,0.000277777777777778,0.00994444444444444,0.0187777777777778,0.00761111111111111,0.00144444444444444,0
388,0.000111111111111111,0.375888888888889,0.186055555555556,0.0852222222222222,0.009,0.00805555555555556,0.00433333333333333,0.00466666666666667,0.000444444444444444,0.001,0.00716666666666667,0.000277777777777778,0.00122222222222222,0,0.223222222222222,0.00611111111111111,0,0.00533333333333333,0.00127777777777778,0.00383333333333333,0.0045,0,0.000611111111111111,0.0184444444444444,0.0371111111111111,0.0132777777777778,0.00255555555555556,0
389,0.000388888888888889,0.592611111111111,0.200444444444444,0.0993888888888889,0.0212777777777778,0.00905555555555556,0.0025,0.00894444444444444,0.00377777777777778,0.00166666666666667,0.0283888888888889,0.000111111111111111,0.00311111111111111,0,0.00138888888888889,0,0,0.000277777777777778,0,0.0148888888888889,0.00516666666666667,0,0,0.00122222222222222,0.000944444444444444,0.00433333333333333,0.000111111111111111,0
390,0.000166666666666667,0.510444444444444,0.290277777777778,0.0759444444444444,0.00916666666666667,0.00944444444444444,0.0025,0.00922222222222222,0.00161111111111111,0.000777777777777778,0.0700555555555556,0.00166666666666667,0.00222222222222222,0.000166666666666667,0,0,0,0,0,0.00588888888888889,0.00388888888888889,0,0.000333333333333333,0.00211111111111111,0,0.00388888888888889,0,0
