"Time","Pasteurellaceae","Streptococcaceae","Veillonellaceae","Bacteroidaceae","Ruminococcaceae","Muribaculaceae","Lachnospiraceae","Acidaminococcaceae","Burkholderiaceae_A_595427","Coprobacillaceae","Desulfovibrionaceae","Oscillospiraceae_88309","UBA1381","Butyricicoccaceae","Gammaproteobacteria_Class","Turicibacteraceae","Peptostreptococcaceae_256921","Erysipelotrichaceae","Acutalibacteraceae","Fusobacteriaceae_993521","Peptoniphilaceae","Clostridiaceae_222000","CAG-74","Akkermansiaceae","Anaerotignaceae","Dialisteraceae","Bacteria_Kingdom","Porphyromonadaceae","Massilibacillaceae","Rikenellaceae","Eggerthellaceae","Oscillospirales_Order"
34,0.00127777777777778,0.000277777777777778,0.000111111111111111,0.718388888888889,0.0487777777777778,0.000111111111111111,0.104833333333333,0.0457777777777778,0.00227777777777778,0.000444444444444444,0.00505555555555556,0.0138888888888889,0,0.00116666666666667,0.000222222222222222,0.000388888888888889,0.000388888888888889,0.000611111111111111,5e-04,0,0,0.000333333333333333,0,0.0397777777777778,0.00427777777777778,0,0.00994444444444444,0,0,0,0,0.00105555555555556
35,0.00172222222222222,0.000222222222222222,0.000333333333333333,0.717333333333333,0.0591666666666667,0.000111111111111111,0.102333333333333,0.0457222222222222,0.004,0.000444444444444444,0.00422222222222222,0.0117222222222222,0,0.00122222222222222,0.000333333333333333,0.000277777777777778,0.000222222222222222,0.000388888888888889,0.000555555555555556,0,0,0.000222222222222222,0,0.0351111111111111,0.00461111111111111,0,0.00833333333333333,0,0,0,0,0.00122222222222222
36,0.00294444444444444,0.000333333333333333,0.000388888888888889,0.716611111111111,0.0657777777777778,5.55555555555556e-05,0.102944444444444,0.0455555555555556,0.00538888888888889,0.000277777777777778,0.00394444444444444,0.0103333333333333,0,0.001,0.000388888888888889,0.000388888888888889,0.000222222222222222,0.000388888888888889,0.000388888888888889,0,0,0.000222222222222222,0,0.0307777777777778,0.00444444444444444,0,0.00605555555555556,0,0,0,0,0.000888888888888889
37,0.00316666666666667,0.000277777777777778,0.000666666666666667,0.718166666666667,0.0725555555555556,5.55555555555556e-05,0.102444444444444,0.0446111111111111,0.00711111111111111,0.000555555555555556,0.00344444444444444,0.00822222222222222,5.55555555555556e-05,0.00111111111111111,0.000666666666666667,0.000277777777777778,0.000111111111111111,0.000166666666666667,0.000277777777777778,0,0,5.55555555555556e-05,0,0.0264444444444444,0.00377777777777778,0,0.00472222222222222,0,0,0,0,0.000611111111111111
38,0.00377777777777778,0.000388888888888889,0.000833333333333333,0.721,0.0758888888888889,0.000111111111111111,0.103555555555556,0.0436111111111111,0.00888888888888889,0.000666666666666667,0.00272222222222222,0.00638888888888889,5.55555555555556e-05,0.000833333333333333,0.000888888888888889,0.000277777777777778,0.000222222222222222,0.000222222222222222,0.000222222222222222,0,0,5.55555555555556e-05,0,0.0207777777777778,0.00388888888888889,0,0.00338888888888889,0,0,0,0,0.000333333333333333
39,0.00477777777777778,0.000388888888888889,0.00105555555555556,0.7205,0.0831666666666667,0.000111111111111111,0.103166666666667,0.0417222222222222,0.00994444444444444,0.000777777777777778,0.00205555555555556,0.00444444444444444,5.55555555555556e-05,0.000722222222222222,0.00127777777777778,0.000277777777777778,0.000111111111111111,0,0.000166666666666667,0,0,0,0,0.0178333333333333,0.00361111111111111,0,0.00238888888888889,0,0,0,0,0.000333333333333333
40,0.00533333333333333,0.000277777777777778,0.00127777777777778,0.718444444444444,0.0856666666666667,0.000111111111111111,0.105444444444444,0.0422777777777778,0.0119444444444444,0.000944444444444444,0.00183333333333333,0.00344444444444444,5.55555555555556e-05,0.000777777777777778,0.00116666666666667,0.000111111111111111,0,5.55555555555556e-05,5.55555555555556e-05,0,0,0,0,0.0130555555555556,0.00388888888888889,0,0.00216666666666667,0,0,0,0,0.000111111111111111
41,0.00538888888888889,0.000444444444444444,0.00144444444444444,0.720666666666667,0.0899444444444444,0.000111111111111111,0.103,0.0399444444444444,0.0123333333333333,0.00105555555555556,0.00138888888888889,0.00233333333333333,0.000111111111111111,0.000777777777777778,0.00111111111111111,0.000111111111111111,0.000111111111111111,0,0.000111111111111111,0,0,0,0,0.0121111111111111,0.0035,0,0.00188888888888889,0,0,0,0,0
42,0.00516666666666667,5e-04,0.00155555555555556,0.723111111111111,0.0866666666666667,0.000111111111111111,0.105111111111111,0.039,0.0125,0.00166666666666667,0.0015,0.00216666666666667,0.000277777777777778,0.000611111111111111,0.00155555555555556,0.000111111111111111,0.000111111111111111,0,5.55555555555556e-05,0,0,0,0,0.0103333333333333,0.00355555555555556,0,0.00177777777777778,0,0,0,0,0
43,0.00388888888888889,0.000333333333333333,0.00361111111111111,0.631722222222222,0.115888888888889,5.55555555555556e-05,0.128,0.0428333333333333,0.0125,0.00505555555555556,0.00444444444444444,0.00844444444444444,5e-04,0.000777777777777778,0.00188888888888889,0,0,0.000166666666666667,0.00216666666666667,5e-04,0.000111111111111111,0.000111111111111111,0,0.0131111111111111,0.00577777777777778,0.000111111111111111,0.00916666666666667,0.000111111111111111,0.000388888888888889,0.000111111111111111,0,0
