"Time","Bacteroidia","Clostridia_258483","Negativicutes","Gammaproteobacteria","Bacilli","Desulfovibrionia","Fusobacteriia","Verrucomicrobiae","Bacteria_Kingdom","Coriobacteriia"
127,0.561055555555556,0.298833333333333,0.0273333333333333,0.00588888888888889,0.00388888888888889,0.00555555555555556,0.00111111111111111,0,0.0951666666666667,0.00105555555555556
128,0.706888888888889,0.242944444444444,0.0257777777777778,0.00883333333333333,0.00594444444444444,0.00366666666666667,0.00216666666666667,0.000277777777777778,0.000722222222222222,0.000888888888888889
129,0.770888888888889,0.172222222222222,0.0241111111111111,0.0137777777777778,0.00661111111111111,0.00777777777777778,0.000222222222222222,0.00344444444444444,0.000666666666666667,5.55555555555556e-05
130,0.653111111111111,0.278888888888889,0.0206111111111111,0.0325,0.004,0.00355555555555556,0,0.00694444444444444,0.000388888888888889,0
131,0.759666666666667,0.162833333333333,0.0186111111111111,0.0185,0.00355555555555556,0.005,0,0.0265555555555556,0.00483333333333333,0.000333333333333333
132,0.713444444444444,0.222555555555556,0.0233888888888889,0.00716666666666667,0.00861111111111111,0.00277777777777778,0,0.0220555555555556,0,0
133,0.532611111111111,0.372388888888889,0.0321111111111111,0.00494444444444444,0.0177222222222222,0.0118333333333333,0,0.0246666666666667,0.002,0.00105555555555556
134,0.725666666666667,0.178555555555556,0.0373888888888889,0.00855555555555556,0.00594444444444444,0.00522222222222222,0,0.0385,0,0.000166666666666667
135,0.656666666666667,0.282722222222222,0.0233888888888889,0.00622222222222222,0.00744444444444444,0.0110555555555556,0.000666666666666667,0.00816666666666667,0.00227777777777778,0.000555555555555556
136,0.708111111111111,0.203277777777778,0.0286666666666667,0.00916666666666667,0.00694444444444444,0.0136111111111111,0,0.0300555555555556,5.55555555555556e-05,0.000111111111111111
137,0.644777777777778,0.2985,0.014,0.0045,0.00716666666666667,0.0155555555555556,0.000166666666666667,0.0141666666666667,0.000888888888888889,0.000277777777777778
138,0.678055555555556,0.263444444444444,0.0344444444444444,0.00522222222222222,0.00944444444444444,0.00588888888888889,0,0.00338888888888889,0,0.000111111111111111
139,0.673333333333333,0.221611111111111,0.0371111111111111,0.00311111111111111,0.00877777777777778,0.00972222222222222,0.0045,0.0396111111111111,0.00127777777777778,0.000388888888888889
140,0.630555555555556,0.2905,0.0413888888888889,0.00983333333333333,0.00827777777777778,0.00355555555555556,0,0.0156111111111111,0.000166666666666667,0
141,0.671277777777778,0.2195,0.0518333333333333,0.0193333333333333,0.00477777777777778,0.00744444444444444,0,0.0251666666666667,0.000555555555555556,0.000111111111111111
142,0.7145,0.206277777777778,0.0342777777777778,0.025,0.00494444444444444,0.00644444444444444,0,0.00822222222222222,5.55555555555556e-05,0.000277777777777778
143,0.654666666666667,0.231,0.0316666666666667,0.00788888888888889,0.00455555555555556,0.0168888888888889,0,0.0136111111111111,0.0387777777777778,0.000944444444444444
144,0.510055555555556,0.404222222222222,0.0182222222222222,0.011,0.00877777777777778,0.0257777777777778,0.00333333333333333,0.0129444444444444,0.00377777777777778,0.000888888888888889
145,0.576888888888889,0.314555555555556,0.0221666666666667,0.00766666666666667,0.00533333333333333,0.0116111111111111,0,0.053,0.00716666666666667,0.00116666666666667
146,0.626,0.258333333333333,0.0165,0.0322777777777778,0.0045,0.0244444444444444,0.000166666666666667,0.0328333333333333,0.00366666666666667,0.00127777777777778
147,0.636611111111111,0.284444444444444,0.0209444444444444,0.00394444444444444,0.00566666666666667,0.00805555555555556,0.00338888888888889,0.0332777777777778,0.00338888888888889,0
148,0.601888888888889,0.320444444444444,0.0242777777777778,0.0103888888888889,0.00944444444444444,0.0045,0,0.0257777777777778,0.00272222222222222,0.000444444444444444
149,0.532944444444444,0.399888888888889,0.0213333333333333,0.0116666666666667,0.0140555555555556,0.0105555555555556,0,0.007,0.00155555555555556,0.000555555555555556
150,0.643833333333333,0.276944444444444,0.0237777777777778,0.0216111111111111,0.014,0.0085,0.00188888888888889,0.00811111111111111,0.000111111111111111,0.000666666666666667
151,0.636277777777778,0.310777777777778,0.0165555555555556,0.0151666666666667,0.00305555555555556,0.00638888888888889,0.000166666666666667,0.0113333333333333,0.000166666666666667,0.000111111111111111
152,0.402,0.476944444444444,0.0177777777777778,0.0135,0.0103333333333333,0.0220555555555556,0.000222222222222222,0.0459444444444444,0.00244444444444444,0.00855555555555556
153,0.639166666666667,0.279888888888889,0.0325555555555556,0.0110555555555556,0.00438888888888889,0.00516666666666667,0,0.0274444444444444,0.000222222222222222,0.000111111111111111
154,0.653333333333333,0.280055555555556,0.0305,0.0143333333333333,0.00894444444444444,0.00361111111111111,0,0.00905555555555556,0.000111111111111111,0
155,0.647333333333333,0.291388888888889,0.0278333333333333,0.0152222222222222,0.0137777777777778,0.00305555555555556,0,0.00116666666666667,0.000111111111111111,0
156,0.577833333333333,0.275166666666667,0.0295,0.00377777777777778,0.00966666666666667,0.0168888888888889,0.00127777777777778,0.0722777777777778,0.0125555555555556,0.000888888888888889
157,0.642555555555556,0.269277777777778,0.0372222222222222,0.00727777777777778,0.00988888888888889,0.00738888888888889,0,0.0259444444444444,0,0.000444444444444444
158,0.597666666666667,0.298222222222222,0.0256111111111111,0.0137222222222222,0.00733333333333333,0.0242222222222222,0,0.0327777777777778,0,0.000444444444444444
159,0.575833333333333,0.310611111111111,0.024,0.0178333333333333,0.00988888888888889,0.0166666666666667,0,0.0442777777777778,0.000111111111111111,0.000444444444444444
160,0.616833333333333,0.265722222222222,0.0243888888888889,0.0193888888888889,0.00988888888888889,0.0155555555555556,0,0.0476111111111111,0.000111111111111111,0.000388888888888889
161,0.650166666666667,0.227166666666667,0.0243333333333333,0.0210555555555556,0.0101111111111111,0.0158888888888889,0,0.0507777777777778,5.55555555555556e-05,0.000444444444444444
162,0.650333333333333,0.232388888888889,0.0227777777777778,0.02,0.0101666666666667,0.0162777777777778,0,0.0475,0.000166666666666667,0.000388888888888889
163,0.642,0.247055555555556,0.021,0.0198888888888889,0.00938888888888889,0.0165,0,0.043,0.000277777777777778,0.000777777777777778
164,0.635222222222222,0.2655,0.0177777777777778,0.0179444444444444,0.00916666666666667,0.0163888888888889,5.55555555555556e-05,0.0367222222222222,0.000333333333333333,0.000666666666666667
165,0.630833333333333,0.282111111111111,0.0159444444444444,0.018,0.00794444444444444,0.0153888888888889,5.55555555555556e-05,0.0276666666666667,0.000611111111111111,0.00111111111111111
166,0.635611111111111,0.286,0.0145,0.0188888888888889,0.00816666666666667,0.0162777777777778,0.000111111111111111,0.0183888888888889,5e-04,0.00105555555555556
167,0.640666666666667,0.277611111111111,0.0385,0.0325,0.007,0.00283333333333333,0,0.000888888888888889,0,0
168,0.671722222222222,0.254,0.0352222222222222,0.028,0.00644444444444444,0.00322222222222222,0,0.00138888888888889,0,0
169,0.698833333333333,0.228944444444444,0.0326666666666667,0.0242777777777778,0.00622222222222222,0.00566666666666667,0,0.00333333333333333,0,5.55555555555556e-05
170,0.712,0.22,0.0315555555555556,0.0181111111111111,0.0065,0.00805555555555556,0,0.00366666666666667,0,0.000111111111111111
171,0.716722222222222,0.219722222222222,0.0300555555555556,0.0133333333333333,0.00638888888888889,0.00883333333333333,0,0.00477777777777778,0,0.000166666666666667
172,0.657722222222222,0.280388888888889,0.0293888888888889,0.0142777777777778,0.00672222222222222,0.011,0,0.000388888888888889,0,0.000111111111111111
173,0.610111111111111,0.342666666666667,0.0176111111111111,0.00822222222222222,0.0112777777777778,0.008,0,0.00205555555555556,0,0
174,0.515888888888889,0.398888888888889,0.0252777777777778,0.0095,0.00811111111111111,0.00927777777777778,0.00183333333333333,0.0309444444444444,0.000277777777777778,0
175,0.523333333333333,0.3565,0.0315,0.00855555555555556,0.00694444444444444,0.00944444444444444,0.00133333333333333,0.0615555555555556,0.000833333333333333,0
