"Time","Phocaeicola_A_858004","Faecalibacterium","Gemmiger_A_73129","Anaerostipes","Fusicatenibacter","Blautia_A_141781","Faecalibacillus","Bacteroides_H","Agathobaculum","unknown_Genus_79","other"
94,0.298944444444444,0.213111111111111,0,0.0217777777777778,0.00555555555555556,0.0173333333333333,0.0411666666666667,0.0442222222222222,0.0143888888888889,0.107444444444444,0.236055555555556
95,0.286611111111111,0.217888888888889,0,0.0200555555555556,0.00588888888888889,0.0163333333333333,0.0411111111111111,0.047,0.0157222222222222,0.0986666666666667,0.250722222222222
96,0.286166666666667,0.223611111111111,0,0.0198333333333333,0.00716666666666667,0.0148333333333333,0.0373888888888889,0.0496111111111111,0.0145555555555556,0.0959444444444444,0.250888888888889
97,0.438555555555556,0.196277777777778,0,0.0284444444444444,0.00661111111111111,0.0382222222222222,0.0449444444444444,0.0752777777777778,0.0100555555555556,0.0557777777777778,0.105833333333333
98,0.362055555555556,0.272833333333333,0.000333333333333333,0.0231111111111111,0.00783333333333333,0.0561111111111111,0.0296111111111111,0.0547777777777778,0.00827777777777778,0.0724444444444445,0.112611111111111
99,0.281055555555556,0.270944444444444,0.00155555555555556,0.0468888888888889,0.00338888888888889,0.0563888888888889,0.0497777777777778,0.0601666666666667,0.0126666666666667,0.0703333333333333,0.146833333333333
100,0.337833333333333,0.225055555555556,0.0015,0.0183888888888889,0.00166666666666667,0.0249444444444444,0.024,0.124722222222222,0.0148333333333333,0.0466111111111111,0.180444444444444
101,0.251777777777778,0.164388888888889,0.00127777777777778,0.0125,0.00227777777777778,0.0494444444444444,0.0258333333333333,0.0982777777777778,0.0166111111111111,0.106555555555556,0.271055555555556
102,0.203944444444444,0.198111111111111,0.00811111111111111,0.0288888888888889,0.0168333333333333,0.0706111111111111,0.0996666666666667,0.0316111111111111,0.0221111111111111,0.149055555555556,0.171055555555556
103,0.405444444444444,0.160277777777778,0.0025,0.0273333333333333,0.00738888888888889,0.0308888888888889,0.0306111111111111,0.0828888888888889,0.01,0.108666666666667,0.134
104,0.345611111111111,0.131611111111111,0.00116666666666667,0.0195555555555556,0.00277777777777778,0.0154444444444444,0.0135,0.0585555555555556,0.00433333333333333,0.163722222222222,0.243722222222222
105,0.1695,0.0737777777777778,0.000111111111111111,0.000666666666666667,0.00105555555555556,0.00172222222222222,0.005,0.0138333333333333,0.00116666666666667,0.267111111111111,0.466055555555556
106,0.126444444444444,0.0249444444444444,0.000166666666666667,0.000277777777777778,0.000166666666666667,0.000333333333333333,0.00122222222222222,0.0159444444444444,0.000388888888888889,0.403888888888889,0.426222222222222
107,0.117222222222222,0.00944444444444444,5.55555555555556e-05,0.000111111111111111,0,5.55555555555556e-05,0.000611111111111111,0.0255555555555556,0.000166666666666667,0.447666666666667,0.399111111111111
108,0.291,0.121611111111111,0.000166666666666667,0.002,0.000166666666666667,0.01,0.00461111111111111,0.194,0.00394444444444444,0.117277777777778,0.255222222222222
109,0.2695,0.204222222222222,5.55555555555556e-05,0.00433333333333333,0.000888888888888889,0.00811111111111111,0.0110555555555556,0.152888888888889,0.00494444444444444,0.0748333333333333,0.269166666666667
110,0.258111111111111,0.2635,5.55555555555556e-05,0.00694444444444444,0.000777777777777778,0.00755555555555556,0.017,0.105611111111111,0.00583333333333333,0.0513333333333333,0.283277777777778
111,0.244666666666667,0.304666666666667,0.000111111111111111,0.00761111111111111,0.00105555555555556,0.00605555555555556,0.0207222222222222,0.0686666666666667,0.00433333333333333,0.0409444444444444,0.301166666666667
112,0.236777777777778,0.309055555555556,0.000111111111111111,0.00816666666666667,0.001,0.00627777777777778,0.0211666666666667,0.0608333333333333,0.00533333333333333,0.0344444444444444,0.316833333333333
113,0.292555555555556,0.101611111111111,0,0.00422222222222222,0,0.000111111111111111,0.00955555555555555,0.0783888888888889,0.000222222222222222,0.0939444444444444,0.419388888888889
114,0.409111111111111,0.1425,0,0.00827777777777778,0.000722222222222222,0.0095,0.0105,0.147777777777778,0.00394444444444444,0.0295,0.238166666666667
115,0.254277777777778,0.298444444444444,0.000166666666666667,0.0142222222222222,0.000944444444444444,0.0207222222222222,0.0148333333333333,0.0672222222222222,0.00588888888888889,0.0883888888888889,0.234888888888889
116,0.219277777777778,0.385777777777778,0.000722222222222222,0.0305555555555556,0.00233333333333333,0.0306111111111111,0.0293888888888889,0.0738333333333333,0.0138333333333333,0.0818888888888889,0.131777777777778
