"Time","Phocaeicola_A_858004","Faecalibacterium","Bacteroides_H","Lachnospira","unknown_Genus_4","Phascolarctobacterium_A","Mesosutterella","Blautia_A_141781","Akkermansia","unknown_Genus_55","other"
57,0.251833333333333,0.0442222222222222,0.3725,0.035,0.0158888888888889,0.0409444444444444,0.0128888888888889,0.0117777777777778,0.00733333333333333,0.0656666666666667,0.141944444444444
58,0.207555555555556,0.0566111111111111,0.3875,0.0469444444444444,0.0307777777777778,0.0430555555555556,0.0205,0.0156666666666667,0.0116666666666667,0.00916666666666667,0.170555555555556
59,0.244333333333333,0.048,0.367555555555556,0.0404444444444444,0.0293333333333333,0.0432777777777778,0.0204444444444444,0.0152777777777778,0.0242777777777778,0.0111111111111111,0.155944444444444
60,0.305393586005831,0.0394707333482844,0.316943260820812,0.0264633325857816,0.0476564252074456,0.0418255214173582,0.0293787844808253,0.0188383045525903,0.0196793002915452,0.00880242206772819,0.145548329221799
61,0.368958589128251,0.0309186293113071,0.244558544480411,0.00898537783234736,0.0808684004911262,0.0381739033374261,0.0455407969639469,0.0247237414890055,0.0108271012389776,0.00429735461547048,0.142147561111731
62,0.397833333333333,0.0263888888888889,0.206222222222222,5e-04,0.0984444444444444,0.0362222222222222,0.0540555555555556,0.0279444444444444,0.00605555555555556,0.00194444444444444,0.144388888888889
63,0.392888888888889,0.0307222222222222,0.209333333333333,0.00116666666666667,0.0952222222222222,0.0371666666666667,0.0512222222222222,0.0272777777777778,0.00716666666666667,0.002,0.145833333333333
64,0.384,0.0343888888888889,0.217111111111111,0.00355555555555556,0.0921666666666667,0.0380555555555556,0.048,0.0255,0.00955555555555555,0.00205555555555556,0.145611111111111
65,0.369777777777778,0.0361111111111111,0.231277777777778,0.00655555555555556,0.0877222222222222,0.0375,0.0461111111111111,0.0235,0.0129444444444444,0.00272222222222222,0.145777777777778
66,0.352777777777778,0.0391111111111111,0.249166666666667,0.00983333333333333,0.0843888888888889,0.0372777777777778,0.0405555555555556,0.0212222222222222,0.0176666666666667,0.00322222222222222,0.144777777777778
67,0.345666666666667,0.0377222222222222,0.265333333333333,0.0132777777777778,0.0802222222222222,0.0365555555555556,0.0348888888888889,0.0187777777777778,0.0217777777777778,0.00383333333333333,0.141944444444444
68,0.335333333333333,0.0391111111111111,0.280444444444444,0.0168888888888889,0.0761666666666667,0.0371111111111111,0.0307222222222222,0.0156666666666667,0.0265,0.00433333333333333,0.137722222222222
69,0.324833333333333,0.039,0.295277777777778,0.0196666666666667,0.0700555555555556,0.0370555555555556,0.0281666666666667,0.0144444444444444,0.0292777777777778,0.00411111111111111,0.138111111111111
70,0.321333333333333,0.039,0.307,0.0216111111111111,0.0644444444444444,0.0371666666666667,0.0237222222222222,0.0137777777777778,0.0321666666666667,0.005,0.134777777777778
71,0.318944444444444,0.0393888888888889,0.311777777777778,0.0225555555555556,0.0583333333333333,0.0383888888888889,0.0219444444444444,0.0128888888888889,0.0341666666666667,0.00455555555555556,0.137055555555556
72,0.367666666666667,0.0306666666666667,0.3835,0.0165,0.0134444444444444,0.0443888888888889,0.0207222222222222,0.0125,0.0110555555555556,0.00127777777777778,0.0982777777777778
73,0.371555555555556,0.0345,0.377388888888889,0.0148888888888889,0.0128333333333333,0.0446666666666667,0.0197777777777778,0.0127777777777778,0.0123333333333333,0.00144444444444444,0.0978333333333333
74,0.365444444444444,0.0363888888888889,0.375,0.0131666666666667,0.0135555555555556,0.0442222222222222,0.0198333333333333,0.0132222222222222,0.0165,0.00122222222222222,0.101444444444444
75,0.356,0.0376111111111111,0.373277777777778,0.0126111111111111,0.0140555555555556,0.0442777777777778,0.0183888888888889,0.0138888888888889,0.0198888888888889,0.00177777777777778,0.108222222222222
76,0.342222222222222,0.0405555555555556,0.371777777777778,0.011,0.0147222222222222,0.0451666666666667,0.0177222222222222,0.0134444444444444,0.0279444444444444,0.00238888888888889,0.113055555555556
77,0.324666666666667,0.0429444444444444,0.372277777777778,0.009,0.0153333333333333,0.0437777777777778,0.0157777777777778,0.0142777777777778,0.0352222222222222,0.00327777777777778,0.123444444444444
78,0.311888888888889,0.0448333333333333,0.371388888888889,0.00783333333333333,0.0158888888888889,0.0437222222222222,0.0147777777777778,0.0143333333333333,0.0424444444444444,0.00433333333333333,0.128555555555556
79,0.300111111111111,0.046,0.368944444444444,0.00672222222222222,0.017,0.0412222222222222,0.0129444444444444,0.0155555555555556,0.0485555555555556,0.00594444444444444,0.137
80,0.294555555555556,0.0485,0.363444444444444,0.00477777777777778,0.0171666666666667,0.0407222222222222,0.011,0.0156666666666667,0.0545,0.00788888888888889,0.141777777777778
81,0.296777777777778,0.0502777777777778,0.351944444444444,0.00305555555555556,0.0181666666666667,0.0380555555555556,0.00833333333333333,0.0168888888888889,0.0566111111111111,0.0106666666666667,0.149222222222222
82,0.368888888888889,0.0357222222222222,0.211111111111111,0.000444444444444444,0.0285555555555556,0.0235555555555556,0.00233333333333333,0.0258888888888889,0.0307222222222222,0.117111111111111,0.155666666666667
83,0.483888888888889,0.0527777777777778,0.243277777777778,0.00411111111111111,0.0276111111111111,0.0426666666666667,0.00994444444444444,0.0126111111111111,0.00777777777777778,0.001,0.114333333333333
84,0.423111111111111,0.0822222222222222,0.284222222222222,0.00222222222222222,0.0288333333333333,0.0184444444444444,0.0223888888888889,0.0156666666666667,0.000333333333333333,0.00961111111111111,0.112944444444444
85,0.322055555555556,0.0490555555555556,0.335444444444444,0.00438888888888889,0.0242222222222222,0.0599444444444444,0.0263333333333333,0.015,0.0212777777777778,0.000777777777777778,0.1415
86,0.353611111111111,0.0451666666666667,0.312277777777778,0.00611111111111111,0.0265555555555556,0.0577222222222222,0.0262777777777778,0.0127222222222222,0.021,0.000611111111111111,0.137944444444444
87,0.423833333333333,0.0405,0.257333333333333,0.00744444444444444,0.0306666666666667,0.0535555555555556,0.025,0.0112777777777778,0.0191111111111111,0.000333333333333333,0.130944444444444
88,0.502222222222222,0.0378888888888889,0.196722222222222,0.0095,0.0349444444444444,0.0457222222222222,0.0241111111111111,0.00911111111111111,0.0163888888888889,0.000333333333333333,0.123055555555556
89,0.557222222222222,0.0351111111111111,0.151444444444444,0.0138333333333333,0.0376666666666667,0.0417222222222222,0.0232222222222222,0.00733333333333333,0.0141111111111111,0.000166666666666667,0.118166666666667
90,0.573944444444444,0.0349444444444444,0.136166666666667,0.0188333333333333,0.0393888888888889,0.0389444444444444,0.0223333333333333,0.00688888888888889,0.0106111111111111,0.000166666666666667,0.117777777777778
91,0.354777777777778,0.0683333333333333,0.207888888888889,0.072,0.011,0.0596666666666667,0.0121111111111111,0.0262777777777778,0.00683333333333333,0,0.181111111111111
92,0.376166666666667,0.0340555555555556,0.213277777777778,0.0825,0.00761111111111111,0.0487222222222222,0.0157777777777778,0.0162222222222222,0.0448333333333333,0,0.160833333333333
93,0.381055555555556,0.025,0.255777777777778,0.0596666666666667,0.00861111111111111,0.06,0.0258333333333333,0.0121111111111111,0.0318888888888889,0.000277777777777778,0.139777777777778
94,0.351611111111111,0.0363333333333333,0.290277777777778,0.0485,0.0101666666666667,0.0561111111111111,0.0182222222222222,0.0140555555555556,0.0233333333333333,0.000222222222222222,0.151166666666667
95,0.298888888888889,0.0632222222222222,0.312722222222222,0.0422777777777778,0.0117777777777778,0.0553888888888889,0.0123888888888889,0.0181111111111111,0.0151666666666667,0.000277777777777778,0.169777777777778
96,0.2335,0.130111111111111,0.247722222222222,0.074,0.0518333333333333,0.0202777777777778,0.0346111111111111,0.0252777777777778,0.000888888888888889,0.000444444444444444,0.181333333333333
97,0.353111111111111,0.0561111111111111,0.329777777777778,0.0282777777777778,0.0336666666666667,0.0439444444444444,0.0085,0.0215555555555556,0.00555555555555556,0,0.1195
98,0.402993317501519,0.0508090793615729,0.309769702325068,0.0233059037941128,0.0229193129728834,0.0401502181476777,0.015077042027945,0.0190534047605898,0.00640636218037223,0,0.10951565692826
99,0.44156710197277,0.0481244790219505,0.277854959711031,0.0235621005834954,0.0150597388163379,0.0338983050847458,0.0276187829952765,0.0171714365101417,0.00683523200889136,0,0.10830786329536
100,0.454944444444444,0.0470555555555556,0.258111111111111,0.0258888888888889,0.0119444444444444,0.0303888888888889,0.0343333333333333,0.0168888888888889,0.00788888888888889,5.55555555555556e-05,0.1125
101,0.3235,0.0536111111111111,0.289388888888889,0.0463333333333333,0.0302777777777778,0.0531666666666667,0.0164444444444444,0.0233333333333333,0.0185,0.000222222222222222,0.145222222222222
102,0.474944444444444,0.0492777777777778,0.2095,0.0702222222222222,0.019,0.0341666666666667,0.0105,0.00977777777777778,0.024,0,0.0986111111111111
