"Time","Phocaeicola_A_858004","Bacteroides_H","Faecalibacterium","Paramuribaculum","Lachnospira","Parabacteroides_B_862066","Phascolarctobacterium_A","Ruminococcus_E","Gemmiger_A_73129","Prevotella"
246,5087,6653,1322,399,569,734,367,118,146,22
247,4466,6493,1898,365,558,695,346,139,237,9
248,1644,2536,770,150,118,321,138,365,254,2653
249,4385,6250,962,418,313,773,233,134,203,16
250,4528,6186,1282,538,365,1020,301,281,249,0
251,4394,6143,1877,451,400,814,375,570,221,3
252,4925,6710,1609,453,284,705,215,607,120,0
253,4571,6704,1968,275,188,653,211,269,274,5
254,4458,5175,1488,269,113,455,213,158,196,116
255,3886,3553,763,302,37,311,234,102,145,233
256,1981,7026,352,422,51,540,434,949,302,0
257,4146,7609,844,333,114,701,205,147,310,15
258,3967,7953,1340,194,64,773,346,287,244,0
259,4686,6200,2077,364,302,719,203,288,165,1
260,5580,4168,2605,714,365,1074,163,0,161,0
261,6392,4842,2052,484,218,878,248,0,133,3
262,6541,6325,1458,254,72,594,323,0,104,1
263,4491,7503,2020,252,167,406,278,0,66,13
264,4527,7902,1175,253,364,592,388,0,53,15
265,3778,8118,1178,319,324,522,463,104,84,9
266,2837,8144,1361,436,217,447,511,245,146,4
267,2940,7968,1617,468,144,464,450,190,153,11
268,3308,7578,1860,458,106,512,355,118,199,17
269,3976,6556,2139,446,342,667,255,79,223,8
270,2753,5502,2554,408,224,575,298,84,853,4
271,1165,4865,2806,366,83,402,327,99,1434,2
272,3480,5527,2680,555,369,949,264,269,291,0
273,3927,5684,2183,578,524,883,460,67,236,0
274,4022,5830,1963,551,489,866,467,82,272,3
275,4000,6162,1453,512,417,824,496,74,301,20
276,2088,4342,969,368,133,460,196,142,548,706
277,1500,5095,835,337,74,384,183,125,478,683
278,1174,6211,733,344,20,392,190,95,305,557
279,1090,6923,728,336,7,410,198,75,210,446
280,2701,7835,792,358,88,567,129,129,179,198
281,4208,8491,839,361,157,659,71,205,208,3
282,4996,8344,870,371,162,695,80,225,214,1
